lr,epoch,precision
0.05,5,0.8781082398829839
0.05,25,0.9005363237445149
0.05,45,0.8980984885421746
0.05,65,0.8966357874207703
0.05,85,0.894685519258898
0.05,105,0.8922476840565577
0.05,125,0.8912725499756217
0.05,145,0.8912725499756217
0.29,5,0.8985860555826426
0.29,25,0.8951730862993662
0.29,45,0.8951730862993662
0.29,65,0.8966357874207703
0.29,85,0.89419795221843
0.29,105,0.894685519258898
0.29,125,0.893710385177962
0.29,145,0.893710385177962
0.53,5,0.8961482203803023
0.53,25,0.8951730862993662
0.53,45,0.8932228181374939
0.53,65,0.8956606533398342
0.53,85,0.8922476840565577
0.53,105,0.893710385177962
0.53,125,0.89419795221843
0.53,145,0.8917601170160897
0.76,5,0.8966357874207703
0.76,25,0.8971233544612384
0.76,45,0.8927352510970259
0.76,65,0.8912725499756217
0.76,85,0.8922476840565577
0.76,105,0.893710385177962
0.76,125,0.8922476840565577
0.76,145,0.893710385177962
1.0,5,0.8961482203803023
1.0,25,0.893710385177962
1.0,45,0.894685519258898
1.0,65,0.8961482203803023
1.0,85,0.8888347147732814
1.0,105,0.89419795221843
1.0,125,0.8961482203803023
1.0,145,0.8932228181374939
