lr,epoch,precision
0.05,10,0.903461726
0.1,5,0.902486592
0.05,15,0.901023891
0.15,5,0.901023891
0.25,5,0.901023891
0.05,25,0.900536324
0.1,10,0.900048757
0.15,10,0.900048757
0.05,20,0.89956119
0.1,15,0.89956119
0.05,30,0.899073623
0.2,5,0.899073623
0.1,25,0.898586056
0.25,10,0.898586056
0.3,10,0.898586056
0.15,15,0.898098489
0.1,30,0.897610922
0.2,15,0.897610922
0.3,5,0.897610922
0.05,35,0.896635787
0.1,35,0.896635787
0.15,25,0.89614822
0.25,15,0.89614822
0.1,40,0.895660653
0.15,20,0.895660653
0.15,30,0.895660653
0.2,20,0.895660653
0.05,40,0.895173086
0.3,15,0.895173086
0.3,40,0.895173086
0.1,20,0.894685519
0.2,10,0.894685519
0.3,35,0.894685519
0.25,30,0.893222818
0.25,40,0.893222818
0.3,20,0.893222818
0.2,25,0.892735251
0.25,20,0.892735251
0.25,35,0.892735251
0.15,35,0.892247684
0.25,25,0.892247684
0.2,40,0.891760117
0.3,25,0.89127255
0.15,40,0.890784983
0.2,35,0.890784983
0.3,30,0.890784983
0.2,30,0.889809849
0.05,5,0.87810824
